gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,72,Yes,No phone service,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,108.45,8569.36,Yes
Female,0,Yes,No,1,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,No,Two year,No,Credit card (automatic),65.96,65.71,No
Male,0,No,No,3,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.15,326.58,No
Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.23,1116.97,Yes
Female,0,Yes,No,43,Yes,No,DSL,No,No,No,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),42.05,1681.69,No
Female,1,No,No,46,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.84,4043.7,No
Male,0,No,No,1,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,49.17,52.18,No
Female,0,Yes,No,38,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.92,1343.9,Yes
Female,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,No internet service,No,No,No,Yes,One year,Yes,Bank transfer (automatic),57.59,2089.65,No
Male,0,Yes,No,54,Yes,No,DSL,No,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),46.62,2309.45,Yes
Female,0,Yes,No,24,Yes,No,No,No internet service,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),61.3,1615.77,Yes
Female,0,No,Yes,28,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,38.65,1135.68,No
Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Two year,Yes,Electronic check,115.7,2507.96,No
Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),100.16,1703.1,No
Male,0,No,Yes,13,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),104.09,1377.14,No
Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),49.78,3149.8,Yes
Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.68,4972.58,Yes
Male,0,No,No,32,Yes,Yes,No,No,No internet service,No,No,Yes,No,One year,No,Mailed check,79.08,2682.96,No
Male,1,No,No,67,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),25.67,1638.08,No
Male,0,No,No,57,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,35.33,1882.98,No
Male,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),64.6,3923.8,No
Male,0,No,No,69,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),59.38,4059.94,No
Female,0,No,No,49,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.53,4768.28,No
Female,0,No,No,33,Yes,Yes,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),107.37,3509.74,No
Male,0,Yes,Yes,19,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.49,1846.35,Yes
Male,0,No,No,36,Yes,No,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),57.53,1947.68,No
Male,0,No,No,70,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,No,One year,No,Electronic check,83.58,6198.71,No
Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No,No,Yes,Yes,No,One year,Yes,Electronic check,69.71,1099.52,No
Female,0,No,No,24,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,108.89,2557.6,No
Female,0,Yes,No,27,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,108.9,2875.89,No
Female,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),25.39,1339.61,No
Female,1,Yes,No,23,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,One year,No,Electronic check,77.21,1662.84,No
Female,1,No,No,33,Yes,No,DSL,No,No internet service,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),70.35,2255.25,No
Female,1,Yes,No,41,No,No,Fiber optic,Yes,No,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),97.04,4188.3,No
Female,1,No,Yes,56,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,39.58,2249.54,No
Female,1,No,No,29,No,Yes,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.5,2367.23,No
Male,0,Yes,No,31,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,93.86,2625.57,Yes
Male,0,No,No,65,No,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),22.67,1331.83,No
Male,0,No,Yes,18,Yes,Yes,No,No,No internet service,No,No,Yes,No internet service,One year,No,Mailed check,63.13,1171.79,No
Male,0,No,No,6,Yes,Yes,DSL,No,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,117.89,724.67,Yes
Female,0,No,No,52,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),50.06,2365.98,No
Female,0,No,No,40,No,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,108.45,4018.69,No
Male,0,Yes,No,65,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,One year,Yes,Mailed check,78.69,5342.52,No
Female,0,No,No,42,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,49.65,2005.89,No
Male,1,Yes,No,68,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),103.6,7737.57,No
Female,0,No,Yes,32,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,119.07,3667.34,No
Male,0,Yes,No,10,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),94.2,911.04,Yes
Female,0,No,Yes,69,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),26.13,1773.93,No
Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,25.24,242.05,Yes
Male,1,No,No,69,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,One year,Yes,Electronic check,69.16,4826.72,No
Female,0,Yes,No,61,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,20.61,1347.04,Yes
Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),87.59,949.46,Yes
Male,0,No,No,68,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.63,1502.69,No
Male,0,No,Yes,8,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),117.31,845.5,No
Male,0,Yes,No,49,Yes,No,DSL,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,108.06,5374.94,No
Female,0,No,No,24,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,Yes,One year,No,Electronic check,101.54,2232.51,No
Female,0,No,No,33,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Two year,No,Credit card (automatic),101.24,3135.8,No
Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Credit card (automatic),103.44,2160.93,No
Male,0,No,No,2,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),63.43,130.34,No
Female,1,No,No,55,Yes,No,No,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),99.19,5858.34,No
Male,0,No,Yes,11,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),56.72,568.68,No
Female,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,104.84,1741.13,No
Female,0,No,No,42,Yes,Yes,No,No internet service,No,No,No,No,No,Month-to-month,Yes,Mailed check,81.8,3684.64,No
Female,0,No,Yes,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,55.83,3344.86,No
Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),94.55,269.67,No
Female,0,No,No,35,No,No,Fiber optic,No,Yes,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),44.28,1543.91,No
Female,0,No,No,66,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,116.47,7642.34,No
Male,0,No,No,1,Yes,No,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,86.47,94.96,No
Female,0,Yes,No,7,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,60.12,408.59,No
Male,1,No,Yes,20,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),75.07,1638.73,Yes
Female,0,No,Yes,43,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),93.76,4363.92,Yes
Male,0,Yes,No,6,Yes,No,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Credit card (automatic),99.73,592.34,No
Male,0,Yes,Yes,55,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),117.5,7037.64,No
Female,0,No,No,21,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),40.9,898.22,Yes
Male,0,No,No,51,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),70.44,3869.07,No
Male,0,Yes,No,46,Yes,No,DSL,No,No internet service,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),29.15,1445.97,No
Male,0,No,No,35,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),28.23,906.13,Yes
Male,0,Yes,No,8,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),30.43,262.76,No
Male,0,No,No,68,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.95,3118.09,No
Male,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),89.63,1473.38,No
Female,1,No,No,67,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),106.11,6825.73,No
Male,1,Yes,No,71,Yes,Yes,No,No,Yes,No,Yes,No internet service,No,One year,No,Electronic check,63.6,4647.02,No
Male,0,No,Yes,64,No,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,75.52,4376.13,No
Female,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,No,Electronic check,40.64,79.19,Yes
Female,0,Yes,No,1,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,99.11,101.66,No
Female,0,No,No,58,Yes,No,DSL,No internet service,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),108.84,5930.01,No
Female,0,No,No,1,Yes,Yes,DSL,Yes,No internet service,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),68.56,70.93,No
Female,0,Yes,No,7,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),36.09,269.25,No
Female,0,No,No,69,Yes,Yes,DSL,No internet service,No,No,No internet service,No,Yes,One year,Yes,Electronic check,20.51,1284.24,No
Female,0,No,Yes,18,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),73.64,1353.08,No
Male,0,Yes,No,32,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,No,Two year,No,Bank transfer (automatic),69.76,2268.32,No
Male,1,No,Yes,45,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),112.58,5351.91,No
Female,0,No,No,33,Yes,No phone service,No,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,23.65,811.28,No
Male,0,No,No,49,No,Yes,DSL,No,No,No,No,No internet service,No,One year,Yes,Credit card (automatic),34.9,1694.58,No
Male,1,No,Yes,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),39.77,1274.22,No
Male,1,No,Yes,71,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),74.71,5819.63,No
Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,48.47,3297.13,No
Female,0,No,Yes,28,No,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,40.57,1115.04,No
Male,0,No,Yes,53,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,71.44,4159.65,No
Female,1,Yes,No,44,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,One year,No,Credit card (automatic),24.07,991.41,No
Male,1,No,No,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),117.52,6057.86,No
Male,0,No,No,10,Yes,No phone service,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),106.1,1162.11,No
Male,0,No,No,14,Yes,No phone service,No,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,47.2,681.64,No
Male,0,Yes,Yes,36,No,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,53.62,1937.94,No
Female,0,Yes,No,34,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),44.59,1385.0,No
Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),112.84,1972.57,No
Female,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),85.32,1346.92,No
Male,0,No,No,37,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),72.12,2674.53,No
Female,1,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,70.86,2868.4,No
Male,1,Yes,No,25,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,No,Credit card (automatic),36.59,903.43,No
Female,0,Yes,Yes,8,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,116.26,1022.13,Yes
Male,0,Yes,Yes,18,Yes,Yes,No,No,No,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),111.46,2196.47,No
Male,0,No,No,68,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,115.24,7187.78,No
Male,0,No,Yes,48,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),49.09,2200.15,No
Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.66,5154.51,Yes
Female,0,Yes,No,67,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),71.89,4642.27,Yes
Female,0,No,Yes,18,No,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,68.97,1269.15,No
Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,No,Electronic check,21.92,418.07,Yes
Male,0,No,Yes,56,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,103.31,5751.66,Yes
Female,0,No,No,23,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),94.65,1966.49,No
Female,0,No,No,35,Yes,Yes,No,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),67.48,2516.77,Yes
Male,0,No,No,6,Yes,No phone service,DSL,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),46.74,294.81,No
Male,0,No,No,26,Yes,Yes,No,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),83.5,1971.89,No
Male,0,No,Yes,61,Yes,No,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.83,2227.64,No
Female,0,Yes,No,15,No,No,DSL,No,No,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),119.73,1924.19,No
Male,0,Yes,No,32,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,One year,No,Electronic check,32.53,994.13,No
Male,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,25.85,284.15,No
Male,0,No,No,5,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),81.24,398.33,No
Female,1,No,No,64,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,66.34,4564.11,No
Male,0,No,No,71,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,91.9,6501.95,Yes
Female,0,Yes,No,27,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,32.8,846.91,Yes
Female,0,No,Yes,45,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,56.37,2400.57,No
Male,0,Yes,No,35,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No internet service,No,Two year,No,Electronic check,70.1,2382.37,No
Male,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,64.7,1848.38,No
Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),78.3,1937.2,No
Male,0,Yes,Yes,13,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),30.18,396.03,Yes
Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),70.37,224.13,No
Female,0,Yes,Yes,29,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,75.48,2108.49,No
Female,0,No,No,66,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Two year,Yes,Electronic check,108.1,7299.0,No
Male,0,No,No,64,Yes,No,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,77.11,5302.95,No
Female,1,No,No,28,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),74.73,2037.07,No
Male,0,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,101.21,3862.46,Yes
Male,0,Yes,Yes,6,Yes,No,No,No internet service,No,No,No,No,Yes,Two year,No,Credit card (automatic),26.5,162.64,No
Male,0,No,Yes,11,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),84.8,954.32,No
Female,0,No,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),101.18,3491.96,Yes
Male,0,Yes,Yes,34,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),29.46,1081.62,No
Male,0,No,No,67,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.16,7152.05,Yes
Male,0,Yes,Yes,46,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),98.72,4120.13,No
Female,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),20.09,595.51,No
Female,0,No,No,60,Yes,No,DSL,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,44.62,2808.87,No
Female,0,No,No,54,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),35.13,2008.99,No
Female,1,Yes,No,69,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,71.13,4504.09,No
Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),111.4,1030.66,No
Male,0,No,No,10,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,80.27,759.83,Yes
Female,0,No,No,68,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,80.18,5399.29,Yes
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,32.28,1882.15,No
Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,86.64,4079.39,Yes
Male,0,Yes,No,34,Yes,No phone service,No,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,108.83,3551.87,No
Female,0,No,No,35,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,62.93,2333.58,No
Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),88.18,3109.18,Yes
Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,49.49,3442.14,No
Female,0,No,No,32,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),46.89,1483.01,No
Male,1,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,38.51,2258.35,Yes
Male,0,Yes,Yes,8,Yes,No,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.15,332.06,No
Male,0,Yes,No,46,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),54.28,2612.22,Yes
Male,0,No,No,14,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,76.67,1053.48,No
Male,0,Yes,No,8,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,98.07,860.99,Yes
Female,0,No,No,71,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Mailed check,48.96,3546.92,No
Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),36.81,1847.83,Yes
Male,0,Yes,No,21,Yes,No,DSL,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),64.98,1275.03,No
Female,0,Yes,Yes,14,No,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,One year,No,Electronic check,98.95,1254.34,No
Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),58.93,122.92,Yes
Female,0,Yes,Yes,61,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),111.33,6714.16,Yes
Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,Two year,Yes,Electronic check,44.79,686.96,No
Female,0,No,Yes,48,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),95.83,4233.16,No
Male,0,No,No,8,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,66.78,511.74,Yes
Male,0,Yes,Yes,56,Yes,Yes,DSL,No internet service,No,Yes,No,No,Yes,One year,Yes,Electronic check,30.71,1693.66,No
Male,1,Yes,Yes,17,Yes,No phone service,DSL,Yes,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),48.11,889.59,No
Female,1,No,No,69,Yes,No,No,No internet service,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),105.82,7361.88,No
Male,1,Yes,Yes,12,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),20.59,266.56,No
Male,0,Yes,No,38,Yes,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.63,3452.63,No
Male,0,No,No,18,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),101.14,1759.44,No
Female,0,No,No,26,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),31.98,894.81,Yes
Female,0,No,Yes,37,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),116.22,4292.71,No
Male,0,Yes,Yes,70,Yes,No,No,No,No,Yes,No internet service,No,No,Two year,No,Electronic check,107.23,7641.45,No
Male,1,Yes,No,41,Yes,No,Fiber optic,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),37.85,1574.87,No
Male,1,No,Yes,42,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),44.15,1908.21,No
Male,0,Yes,No,41,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,101.85,4250.14,Yes
Female,0,No,Yes,47,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),74.64,3644.45,No
Female,0,No,No,14,Yes,No,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),112.26,1460.77,Yes
Female,1,Yes,No,1,Yes,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),117.91,122.88,No
Female,1,No,No,17,Yes,No,DSL,No,No internet service,No internet service,No,No,Yes,One year,No,Electronic check,54.34,859.23,No
